anthropology,anthro,,,,,,,,,
artificial intelligence,artificial intelligence,decision,machine,artificial intelligence,,,,,,
linguistics,linguistic,language,communication,speech,,,,,,
neuroscience,neuroscience,neuro,neural,,,,,,,
philosophy,philosophy,,,,,,,,,
psychology,psychology,psycho,behavior,psicología,,,,,,
computer science,computer science,cybernetics,computer,eecs,technology,cecs,parc,informatique,informatic,mit media
cognitive science,cognitive,cognitiva,,,,,,,,
engineering,engineer,,,,,,,,,
education,education,,,,,,,,,
biology,bio,kinesiology,health,,,,,,,
business,business,management,marketing,,,,,,,
Physiology,physiology,fisiología,,,,,,,,
Psychiatry,psychiatry,,,,,,,,,
Music,music,,,,,,,,,
Math,math,,,,,,,,,
