year,anthropology,linguistics,neuroscience,philosophy,psychology,computer science,cognitive science,other
2001.0,0.0,2.142857142857143,5.659271284271284,2.15,4.426298701298701,3.4393939393939394,4.182178932178932,6.0
2002.0,0.0,1.75,0.29166666666666663,0.0,12.475,4.333333333333333,2.15,6.0
2003.0,0.2857142857142857,2.8273809523809526,2.1416666666666666,0.6666666666666666,23.51547619047619,3.238095238095238,2.3249999999999997,3.0
2004.0,0.4,2.9345238095238098,2.557539682539683,0.2857142857142857,23.74325396825397,4.808333333333334,5.270634920634921,2.0
2005.0,0.0,1.4333333333333331,0.6111111111111112,0.6666666666666666,21.03333333333333,5.333333333333333,1.9222222222222223,8.0
2006.0,0.2857142857142857,8.744047619047619,1.6833333333333331,0.25,15.461904761904762,4.175000000000001,7.4,3.0
2007.0,0.0,0.95,2.3214285714285716,0.0,15.757142857142858,6.228571428571429,0.7428571428571429,8.0
2008.0,1.0,1.05,3.477380952380952,0.0,23.876190476190473,4.379761904761904,6.216666666666666,7.0
2009.0,0.7333333333333334,4.666666666666666,3.8095238095238093,0.7333333333333334,27.395238095238096,4.642857142857143,3.019047619047619,17.0
2010.0,0.0,4.273809523809524,4.344444444444445,1.5555555555555554,38.41904761904762,5.146825396825397,6.26031746031746,7.0
2011.0,0.6190476190476191,5.694047619047619,3.0428571428571423,1.65,33.86547619047619,5.642857142857142,5.485714285714286,2.0
2012.0,2.0666666666666664,8.934199134199133,6.264502164502164,1.0,29.35757575757576,4.983766233766234,12.393290043290044,5.0
2013.0,0.2857142857142857,5.321428571428571,4.855952380952381,2.466666666666667,29.550000000000008,7.3845238095238095,7.135714285714287,5.0
2014.0,1.8,5.552380952380953,3.869047619047619,2.0,35.65714285714286,5.369047619047619,3.752380952380952,6.0
2015.0,0.4,7.777777777777779,6.916666666666666,4.952380952380952,46.24404761904763,4.741666666666667,5.967460317460318,4.0
2016.0,0.4,13.75873015873016,8.061507936507937,1.4714285714285715,44.08809523809525,3.1607142857142856,7.059523809523809,6.0
2017.0,1.2857142857142856,20.782356532356527,14.24526862026862,9.750793650793652,78.59386446886447,6.873809523809524,13.468192918192921,6.0
2018.0,0.25,0.6607142857142857,0.4,0.2857142857142857,8.503571428571428,1.5,0.4,1.0
